Order_ID,Order_Date,Region,Category,Sub_Category,Sales,Profit,Quantity
1001,2024-01-05,West,Furniture,Chairs,1200,150,4
1002,2024-01-12,West,Furniture,Tables,900,-50,2
1003,2024-02-03,East,Technology,Phones,2200,400,5
1004,2024-02-18,West,Office Supplies,Binders,150,30,10
1005,2024-03-01,South,Furniture,Chairs,1100,120,3
1006,2024-03-15,West,Technology,Phones,1800,300,4
1007,2024-04-02,East,Office Supplies,Paper,80,15,20
1008,2024-04-20,West,Furniture,Tables,700,-80,2
1009,2024-05-05,South,Technology,Accessories,500,90,6
1010,2024-05-22,West,Office Supplies,Binders,200,40,12
1011,2024-06-01,East,Furniture,Chairs,1300,200,4
1012,2024-06-15,West,Furniture,Chairs,600,-30,2
1013,2024-07-02,West,Technology,Phones,1500,250,3
1014,2024-07-19,South,Office Supplies,Paper,90,20,15
1015,2024-08-03,West,Furniture,Tables,800,-100,2
1016,2024-08-21,East,Technology,Accessories,450,70,5
1017,2024-09-02,West,Furniture,Chairs,500,-40,2
1018,2024-09-16,South,Furniture,Tables,950,110,3
1019,2024-09-25,West,Office Supplies,Binders,180,35,9
1020,2024-09-28,West,Furniture,Chairs,400,-60,1
